"","County","Date","confirmed_cases_per_day","year","month","week"
"1","Anderson",2020-03-06,0,"2020","3","10"
"2","Andrews",2020-03-06,0,"2020","3","10"
"3","Angelina",2020-03-06,0,"2020","3","10"
"4","Aransas",2020-03-06,0,"2020","3","10"
"5","Archer",2020-03-06,0,"2020","3","10"
"6","Armstrong",2020-03-06,0,"2020","3","10"
"7","Atascosa",2020-03-06,0,"2020","3","10"
"8","Austin",2020-03-06,0,"2020","3","10"
"9","Bailey",2020-03-06,0,"2020","3","10"
"10","Bandera",2020-03-06,0,"2020","3","10"
"11","Bastrop",2020-03-06,0,"2020","3","10"
"12","Baylor",2020-03-06,0,"2020","3","10"
"13","Bee",2020-03-06,0,"2020","3","10"
"14","Bell",2020-03-06,0,"2020","3","10"
"15","Bexar",2020-03-06,0,"2020","3","10"
"16","Blanco",2020-03-06,0,"2020","3","10"
"17","Borden",2020-03-06,0,"2020","3","10"
"18","Bosque",2020-03-06,0,"2020","3","10"
"19","Bowie",2020-03-06,0,"2020","3","10"
"20","Brazoria",2020-03-06,1,"2020","3","10"
"21","Brazos",2020-03-06,0,"2020","3","10"
"22","Brewster",2020-03-06,0,"2020","3","10"
"23","Briscoe",2020-03-06,0,"2020","3","10"
"24","Brooks",2020-03-06,0,"2020","3","10"
"25","Brown",2020-03-06,0,"2020","3","10"
"26","Burleson",2020-03-06,0,"2020","3","10"
"27","Burnet",2020-03-06,0,"2020","3","10"
"28","Caldwell",2020-03-06,0,"2020","3","10"
"29","Calhoun",2020-03-06,0,"2020","3","10"
"30","Callahan",2020-03-06,0,"2020","3","10"
"31","Cameron",2020-03-06,0,"2020","3","10"
"32","Camp",2020-03-06,0,"2020","3","10"
"33","Carson",2020-03-06,0,"2020","3","10"
"34","Cass",2020-03-06,0,"2020","3","10"
"35","Castro",2020-03-06,0,"2020","3","10"
"36","Chambers",2020-03-06,0,"2020","3","10"
"37","Cherokee",2020-03-06,0,"2020","3","10"
"38","Childress",2020-03-06,0,"2020","3","10"
"39","Clay",2020-03-06,0,"2020","3","10"
"40","Cochran",2020-03-06,0,"2020","3","10"
"41","Coke",2020-03-06,0,"2020","3","10"
"42","Coleman",2020-03-06,0,"2020","3","10"
"43","Collin",2020-03-06,0,"2020","3","10"
"44","Collingsworth",2020-03-06,0,"2020","3","10"
"45","Colorado",2020-03-06,0,"2020","3","10"
"46","Comal",2020-03-06,0,"2020","3","10"
"47","Comanche",2020-03-06,0,"2020","3","10"
"48","Concho",2020-03-06,0,"2020","3","10"
"49","Cooke",2020-03-06,0,"2020","3","10"
"50","Coryell",2020-03-06,0,"2020","3","10"
"51","Cottle",2020-03-06,0,"2020","3","10"
"52","Crane",2020-03-06,0,"2020","3","10"
"53","Crockett",2020-03-06,0,"2020","3","10"
"54","Crosby",2020-03-06,0,"2020","3","10"
"55","Culberson",2020-03-06,0,"2020","3","10"
"56","Dallam",2020-03-06,0,"2020","3","10"
"57","Dallas",2020-03-06,0,"2020","3","10"
"58","Dawson",2020-03-06,0,"2020","3","10"
"59","Deaf Smith",2020-03-06,0,"2020","3","10"
"60","Delta",2020-03-06,0,"2020","3","10"
"61","Denton",2020-03-06,0,"2020","3","10"
"62","DeWitt",2020-03-06,0,"2020","3","10"
"63","Dickens",2020-03-06,0,"2020","3","10"
"64","Dimmit",2020-03-06,0,"2020","3","10"
"65","Donley",2020-03-06,0,"2020","3","10"
"66","Duval",2020-03-06,0,"2020","3","10"
"67","Eastland",2020-03-06,0,"2020","3","10"
"68","Ector",2020-03-06,0,"2020","3","10"
"69","Edwards",2020-03-06,0,"2020","3","10"
"70","El Paso",2020-03-06,0,"2020","3","10"
"71","Ellis",2020-03-06,0,"2020","3","10"
"72","Erath",2020-03-06,0,"2020","3","10"
"73","Falls",2020-03-06,0,"2020","3","10"
"74","Fannin",2020-03-06,0,"2020","3","10"
"75","Fayette",2020-03-06,0,"2020","3","10"
"76","Fisher",2020-03-06,0,"2020","3","10"
"77","Floyd",2020-03-06,0,"2020","3","10"
"78","Foard",2020-03-06,0,"2020","3","10"
"79","Fort Bend",2020-03-06,0,"2020","3","10"
"80","Franklin",2020-03-06,0,"2020","3","10"
"81","Freestone",2020-03-06,0,"2020","3","10"
"82","Frio",2020-03-06,0,"2020","3","10"
"83","Gaines",2020-03-06,0,"2020","3","10"
"84","Galveston",2020-03-06,0,"2020","3","10"
"85","Garza",2020-03-06,0,"2020","3","10"
"86","Gillespie",2020-03-06,0,"2020","3","10"
"87","Glasscock",2020-03-06,0,"2020","3","10"
"88","Goliad",2020-03-06,0,"2020","3","10"
"89","Gonzales",2020-03-06,0,"2020","3","10"
"90","Gray",2020-03-06,0,"2020","3","10"
"91","Grayson",2020-03-06,0,"2020","3","10"
"92","Gregg",2020-03-06,0,"2020","3","10"
"93","Grimes",2020-03-06,0,"2020","3","10"
"94","Guadalupe",2020-03-06,0,"2020","3","10"
"95","Hale",2020-03-06,0,"2020","3","10"
"96","Hall",2020-03-06,0,"2020","3","10"
"97","Hamilton",2020-03-06,0,"2020","3","10"
"98","Hansford",2020-03-06,0,"2020","3","10"
"99","Hardeman",2020-03-06,0,"2020","3","10"
"100","Hardin",2020-03-06,0,"2020","3","10"
"101","Harris",2020-03-06,0,"2020","3","10"
"102","Harrison",2020-03-06,0,"2020","3","10"
"103","Hartley",2020-03-06,0,"2020","3","10"
"104","Haskell",2020-03-06,0,"2020","3","10"
"105","Hays",2020-03-06,0,"2020","3","10"
"106","Hemphill",2020-03-06,0,"2020","3","10"
"107","Henderson",2020-03-06,0,"2020","3","10"
"108","Hidalgo",2020-03-06,0,"2020","3","10"
"109","Hill",2020-03-06,0,"2020","3","10"
"110","Hockley",2020-03-06,0,"2020","3","10"
"111","Hood",2020-03-06,0,"2020","3","10"
"112","Hopkins",2020-03-06,0,"2020","3","10"
"113","Houston",2020-03-06,0,"2020","3","10"
"114","Howard",2020-03-06,0,"2020","3","10"
"115","Hudspeth",2020-03-06,0,"2020","3","10"
"116","Hunt",2020-03-06,0,"2020","3","10"
"117","Hutchinson",2020-03-06,0,"2020","3","10"
"118","Irion",2020-03-06,0,"2020","3","10"
"119","Jack",2020-03-06,0,"2020","3","10"
"120","Jackson",2020-03-06,0,"2020","3","10"
"121","Jasper",2020-03-06,0,"2020","3","10"
"122","Jeff Davis",2020-03-06,0,"2020","3","10"
"123","Jefferson",2020-03-06,0,"2020","3","10"
"124","Jim Hogg",2020-03-06,0,"2020","3","10"
"125","Jim Wells",2020-03-06,0,"2020","3","10"
"126","Johnson",2020-03-06,0,"2020","3","10"
"127","Jones",2020-03-06,0,"2020","3","10"
"128","Karnes",2020-03-06,0,"2020","3","10"
"129","Kaufman",2020-03-06,0,"2020","3","10"
"130","Kendall",2020-03-06,0,"2020","3","10"
"131","Kenedy",2020-03-06,0,"2020","3","10"
"132","Kent",2020-03-06,0,"2020","3","10"
"133","Kerr",2020-03-06,0,"2020","3","10"
"134","Kimble",2020-03-06,0,"2020","3","10"
"135","King",2020-03-06,0,"2020","3","10"
"136","Kinney",2020-03-06,0,"2020","3","10"
"137","Kleberg",2020-03-06,0,"2020","3","10"
"138","Knox",2020-03-06,0,"2020","3","10"
"139","La Salle",2020-03-06,0,"2020","3","10"
"140","Lamar",2020-03-06,0,"2020","3","10"
"141","Lamb",2020-03-06,0,"2020","3","10"
"142","Lampasas",2020-03-06,0,"2020","3","10"
"143","Lavaca",2020-03-06,0,"2020","3","10"
"144","Lee",2020-03-06,0,"2020","3","10"
"145","Leon",2020-03-06,0,"2020","3","10"
"146","Liberty",2020-03-06,0,"2020","3","10"
"147","Limestone",2020-03-06,0,"2020","3","10"
"148","Lipscomb",2020-03-06,0,"2020","3","10"
"149","Live Oak",2020-03-06,0,"2020","3","10"
"150","Llano",2020-03-06,0,"2020","3","10"
"151","Loving",2020-03-06,0,"2020","3","10"
"152","Lubbock",2020-03-06,0,"2020","3","10"
"153","Lynn",2020-03-06,0,"2020","3","10"
"154","Madison",2020-03-06,0,"2020","3","10"
"155","Marion",2020-03-06,0,"2020","3","10"
"156","Martin",2020-03-06,0,"2020","3","10"
"157","Mason",2020-03-06,0,"2020","3","10"
"158","Matagorda",2020-03-06,0,"2020","3","10"
"159","Maverick",2020-03-06,0,"2020","3","10"
"160","McCulloch",2020-03-06,0,"2020","3","10"
"161","McLennan",2020-03-06,0,"2020","3","10"
"162","McMullen",2020-03-06,0,"2020","3","10"
"163","Medina",2020-03-06,0,"2020","3","10"
"164","Menard",2020-03-06,0,"2020","3","10"
"165","Midland",2020-03-06,0,"2020","3","10"
"166","Milam",2020-03-06,0,"2020","3","10"
"167","Mills",2020-03-06,0,"2020","3","10"
"168","Mitchell",2020-03-06,0,"2020","3","10"
"169","Montague",2020-03-06,0,"2020","3","10"
"170","Montgomery",2020-03-06,0,"2020","3","10"
"171","Moore",2020-03-06,0,"2020","3","10"
"172","Morris",2020-03-06,0,"2020","3","10"
"173","Motley",2020-03-06,0,"2020","3","10"
"174","Nacogdoches",2020-03-06,0,"2020","3","10"
"175","Navarro",2020-03-06,0,"2020","3","10"
"176","Newton",2020-03-06,0,"2020","3","10"
"177","Nolan",2020-03-06,0,"2020","3","10"
"178","Nueces",2020-03-06,0,"2020","3","10"
"179","Ochiltree",2020-03-06,0,"2020","3","10"
"180","Oldham",2020-03-06,0,"2020","3","10"
"181","Orange",2020-03-06,0,"2020","3","10"
"182","Palo Pinto",2020-03-06,0,"2020","3","10"
"183","Panola",2020-03-06,0,"2020","3","10"
"184","Parker",2020-03-06,0,"2020","3","10"
"185","Parmer",2020-03-06,0,"2020","3","10"
"186","Pecos",2020-03-06,0,"2020","3","10"
"187","Polk",2020-03-06,0,"2020","3","10"
"188","Potter",2020-03-06,0,"2020","3","10"
"189","Presidio",2020-03-06,0,"2020","3","10"
"190","Rains",2020-03-06,0,"2020","3","10"
"191","Randall",2020-03-06,0,"2020","3","10"
"192","Reagan",2020-03-06,0,"2020","3","10"
"193","Real",2020-03-06,0,"2020","3","10"
"194","Red River",2020-03-06,0,"2020","3","10"
"195","Reeves",2020-03-06,0,"2020","3","10"
"196","Refugio",2020-03-06,0,"2020","3","10"
"197","Roberts",2020-03-06,0,"2020","3","10"
"198","Robertson",2020-03-06,0,"2020","3","10"
"199","Rockwall",2020-03-06,0,"2020","3","10"
"200","Runnels",2020-03-06,0,"2020","3","10"
"201","Rusk",2020-03-06,0,"2020","3","10"
"202","Sabine",2020-03-06,0,"2020","3","10"
"203","San Augustine",2020-03-06,0,"2020","3","10"
"204","San Jacinto",2020-03-06,0,"2020","3","10"
"205","San Patricio",2020-03-06,0,"2020","3","10"
"206","San Saba",2020-03-06,0,"2020","3","10"
"207","Schleicher",2020-03-06,0,"2020","3","10"
"208","Scurry",2020-03-06,0,"2020","3","10"
"209","Shackelford",2020-03-06,0,"2020","3","10"
"210","Shelby",2020-03-06,0,"2020","3","10"
"211","Sherman",2020-03-06,0,"2020","3","10"
"212","Smith",2020-03-06,0,"2020","3","10"
"213","Somervell",2020-03-06,0,"2020","3","10"
"214","Starr",2020-03-06,0,"2020","3","10"
"215","Stephens",2020-03-06,0,"2020","3","10"
"216","Sterling",2020-03-06,0,"2020","3","10"
"217","Stonewall",2020-03-06,0,"2020","3","10"
"218","Sutton",2020-03-06,0,"2020","3","10"
"219","Swisher",2020-03-06,0,"2020","3","10"
"220","Tarrant",2020-03-06,0,"2020","3","10"
