"County","Date","fatality_cases_per_day","year","month","week"
"Bexar",2020-03-07,0,2020,3,10
"Bexar",2020-03-08,0,2020,3,10
"Bexar",2020-03-09,0,2020,3,10
"Bexar",2020-03-10,0,2020,3,10
"Bexar",2020-03-11,0,2020,3,11
"Bexar",2020-03-12,0,2020,3,11
"Bexar",2020-03-13,0,2020,3,11
"Bexar",2020-03-14,0,2020,3,11
"Bexar",2020-03-15,0,2020,3,11
"Bexar",2020-03-16,0,2020,3,11
"Bexar",2020-03-17,0,2020,3,11
"Bexar",2020-03-18,0,2020,3,12
"Bexar",2020-03-19,0,2020,3,12
"Bexar",2020-03-20,0,2020,3,12
"Bexar",2020-03-21,1,2020,3,12
"Bexar",2020-03-22,1,2020,3,12
"Bexar",2020-03-23,1,2020,3,12
"Bexar",2020-03-24,2,2020,3,12
"Bexar",2020-03-25,3,2020,3,13
"Bexar",2020-03-26,5,2020,3,13
"Bexar",2020-03-27,5,2020,3,13
"Bexar",2020-03-28,5,2020,3,13
"Bexar",2020-03-29,7,2020,3,13
"Bexar",2020-03-30,9,2020,3,13
"Bexar",2020-03-31,9,2020,3,13
"Bexar",2020-04-01,9,2020,4,14
"Bexar",2020-04-02,9,2020,4,14
"Bexar",2020-04-03,9,2020,4,14
"Bexar",2020-04-04,13,2020,4,14
"Bexar",2020-04-05,16,2020,4,14
"Bexar",2020-04-06,18,2020,4,14
"Bexar",2020-04-07,19,2020,4,14
"Bexar",2020-04-08,21,2020,4,15
"Bexar",2020-04-09,22,2020,4,15
"Bexar",2020-04-10,27,2020,4,15
"Bexar",2020-04-11,30,2020,4,15
"Bexar",2020-04-12,33,2020,4,15
"Bexar",2020-04-13,34,2020,4,15
"Bexar",2020-04-14,37,2020,4,15
"Bexar",2020-04-15,37,2020,4,16
"Bexar",2020-04-16,38,2020,4,16
"Bexar",2020-04-17,39,2020,4,16
"Bexar",2020-04-18,40,2020,4,16
"Bexar",2020-04-19,40,2020,4,16
"Bexar",2020-04-20,40,2020,4,16
"Bexar",2020-04-21,43,2020,4,16
"Bexar",2020-04-22,44,2020,4,17
"Bexar",2020-04-23,45,2020,4,17
